OrderID,Date,Product,Quantity,Price
1,2023-12-30,Monitor,1,12000
2,2024-04-10,Monitor,1,12000
3,2024-10-11,Monitor,1,12000
4,2023-02-07,Monitor,4,12000
5,2024-02-19,Keyboard,3,1500
6,2024-03-20,Keyboard,5,1500
7,2023-10-09,Mouse,1,800
8,2023-01-30,Mouse,2,800
9,2023-09-14,Tablet,2,20000
10,2023-10-23,Headphones,4,2000
11,2023-08-12,Mobile,2,15000
12,2024-01-06,Tablet,4,20000
13,2023-06-18,Headphones,2,2000
14,2023-05-16,Mouse,4,800
15,2023-09-01,Mobile,4,15000
16,2023-05-12,Tablet,2,20000
17,2023-06-29,Monitor,4,12000
18,2023-11-08,Mobile,2,15000
19,2024-11-23,Mouse,2,800
20,2023-07-26,Laptop,4,50000
21,2024-02-24,Mobile,2,15000
22,2024-02-22,Headphones,4,2000
23,2023-06-01,Headphones,3,2000
24,2023-08-04,Mobile,4,15000
25,2023-03-28,Tablet,2,20000
26,2023-10-21,Laptop,4,50000
27,2024-04-14,Mouse,5,800
28,2023-06-06,Headphones,3,2000
29,2023-06-22,Tablet,5,20000
30,2023-12-01,Monitor,1,12000
31,2024-10-26,Laptop,5,50000
32,2024-07-30,Laptop,4,50000
33,2024-09-22,Mobile,2,15000
34,2024-05-21,Laptop,5,50000
35,2024-04-12,Headphones,1,2000
36,2023-07-09,Tablet,2,20000
37,2023-02-23,Headphones,2,2000
38,2023-06-14,Laptop,5,50000
39,2024-08-06,Mouse,1,800
40,2024-11-06,Tablet,2,20000
41,2024-09-26,Keyboard,1,1500
42,2023-04-21,Tablet,5,20000
43,2024-09-01,Mouse,3,800
44,2023-02-19,Mobile,1,15000
45,2023-03-05,Tablet,5,20000
46,2023-06-04,Monitor,3,12000
47,2024-07-21,Mobile,3,15000
48,2023-02-01,Tablet,3,20000
49,2024-06-21,Laptop,3,50000
50,2024-02-05,Laptop,4,50000
51,2024-02-01,Tablet,1,20000
52,2023-08-21,Monitor,3,12000
53,2023-04-16,Mobile,5,15000
54,2023-03-31,Mobile,1,15000
55,2024-07-11,Keyboard,1,1500
56,2024-07-20,Mouse,5,800
57,2024-10-14,Mouse,5,800
58,2023-09-07,Tablet,5,20000
59,2023-10-24,Mouse,5,800
60,2023-03-07,Keyboard,4,1500
61,2023-06-22,Laptop,2,50000
62,2024-10-23,Laptop,3,50000
63,2023-03-18,Laptop,3,50000
64,2024-12-23,Headphones,3,2000
65,2024-01-06,Mobile,4,15000
66,2023-04-30,Mobile,1,15000
67,2023-12-23,Monitor,1,12000
68,2024-03-15,Monitor,2,12000
69,2023-12-15,Mobile,1,15000
